id,nome_oficial,categoria,subcategoria
0eed1c14-97ae-4e6a-9911-545eb81759d7,MÓDULO DE CAPNOGRAFIA,GERAIS,
10d71391-a9fe-405b-8e51-77201da27553,FONTE DE LUZ,GERAIS,
19f96c28-856f-4a7d-8c29-b38ebd6bf049,MONITOR MULTIPARAMÉTRICO,GERAIS,
1b663c9d-80ad-422b-8703-efed933fd43e,UMIDIFICADOR,GERAIS,
30ecb118-dfd4-4ec0-8bb5-500f0d0218f1,COMPRESSOR PARA TERAPIA VASCULAR,GERAIS,
34c5412e-bde6-4ef5-bf98-8adf59e01e0e,MANOVACUÔMETRO,GERAIS,
42017e09-e9a6-4a55-b434-6e711b8a6017,MOCHILA DE TRANSPORTE,GERAIS,
445394a4-4715-462b-bcd7-0d953113e43b,VENTILADOR PULMONAR DE TRANSPORTE,TRANSPORTE,
50306174-a423-4972-b1db-ccf33657cb49,VENTILÔMETRO,GERAIS,
5f578f39-f9ad-4670-83df-7af29e520678,VENTILADOR PULMONAR NÃO INVASIVO,VENTILATORIA,VMNI
625fb797-67c5-4827-ac3c-ff61670d6f1a,MONITOR DE ÓXIDO NÍTRICO,VENTILATORIA,OXIDO
63a82fc9-5285-4818-a273-057b18c7e820,GERADOR DE FLUXO,GERAIS,
65121ca6-d5fa-403a-8d16-0c36742825c5,EQUIPAMENTO DE TERAPIA À VÁCUO,GERAIS,
674b4927-dd22-4159-9348-3d39d7289153,BLENDER PARA VENTILADOR PULMONAR,VENTILATORIA,VMI
67f8ec66-3080-4524-b196-2446125258e8,CUFFÔMETRO,GERAIS,
6d30df18-cda6-4abf-b988-44481aace58c,OXÍMETRO PORTÁTIL,GERAIS,
79e184f7-31a4-4aec-81be-170cea55fcc2,PROCESSADORA DE IMAGEM,GERAIS,
7c3b5098-38b7-4954-96cd-bfb98ca215c9,MONITOR DE TRANSPORTE,GERAIS,
80c391f4-8e7f-4e83-9817-e76c2e3e2547,VENTILADOR PULMONAR,VENTILATORIA,VMI
87831158-d631-46f6-ba5c-790d2c1bab9c,ULTRASSOM,GERAIS,
8bf0d358-00df-4d41-89bb-9026b9e90199,REGULADOR DE VÁCUO TORÁCICO,GERAIS,
8dc0afb7-3d90-4c61-9050-f8cedc1d0979,MÓDULO MULTIPARAMÉTRICO,GERAIS,
8e9233fb-f783-43b8-b3f5-17b39723f2bf,MONITOR MULTIPARAMÉTRICO (TRANSPORTE),TRANSPORTE,
97525fb1-3849-4d08-b13d-024282739cdb,TRANSDUTOR DE ULTRASSOM,GERAIS,
a4bce493-e2d7-483e-97a9-238084647c3b,MÓDULO AUXILIAR PHILLIPS,GERAIS,
ae27c1a5-7c4c-4742-b59d-803659266382,CUFÔMETRO,GERAIS,
bb7ae19c-b630-426d-b6b5-c698a7451a10,MARCAPASSO EXTERNO,GERAIS,
bee4755d-ce0a-441d-94eb-a0cc0f8dbd2f,SOLICITAR SOMENTE OS ACESSÓRIOS,GERAIS,
c10fe8a2-097f-4ddf-9ab6-ec1117def6b3,APENAS ACESSÓRIOS (VENTILATÓRIO),VENTILATORIA,APENAS_ACESSORIOS
cc663847-979a-4e28-a40b-06c596cf894a,MONITOR DE PRESSÃO INTRACRANIANA,GERAIS,
d2bea99a-668e-434e-a4e8-a48c3c5cac64,GERADOR DE FLUXO,VENTILATORIA,ALTO_FLUXO
e0171b61-788a-482d-b875-b4c13bdf315e,MÓDULO DE PRESSÃO INVASIVA,GERAIS,
e6c1c5fc-e459-4e8a-af21-c4e30d732f7a,CASSETE EXPIRATÓRIO,GERAIS,
