TAG,Nº de Série,Patrimônio,Equipamento,Modelo,Fabricante,Criticidade,Prioridade,Grupo Empresa,Razão Social,Setor,Endereço,UF,Bairro,Cidade,CEP,Centro de Custo,Data de Aquisição,Valor de Aquisição,Nota Fiscal,Valor de Substituição,Data de Fabricação,Data de Instalação,Data de Inativação,Data de Garantia,Data de Garantia Estendida,Componente de,Reg. ANVISA,Validade do Registro ANVISA,Situação,Status,Fornecedor,Observação,Garantia Externa,id,previousLocation,specificLocation,returnDate,returnedAllAccessories,transferStatus,transferTo,transferToBed,transferBy,transferRejected,patientMV,patientName,inUseSince,defectDescription,unitNotified,notificationNumber,patientDamage,serviceRequestNumber,preventiveScheduled,preventiveScheduledAt,preventiveSegregatedAt,receivedBySector,lastCleaned,location,status,tag,model,type
AUTO1271,,,MANOVACUÔMETRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEIC-727528,CEIC,,2026-04-29 19:03:19.052+00,false,,,,,false,,,,,,,,,,,,,2026-04-30 02:39:47.555+00,CEIC,available,,RoboTest Pro,
AUTO2028,,,MANOVACUOMETRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEIC-843162,,10,,,,,,,,MV123456,Paciente Auto,2026-04-22 04:57:39.113+00,,,,,,,,,false,,Centro Cirúrgico,in_use,,RoboTest Pro,
AUTO2084,,,MANOVACUOMETRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEIC-069214,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,,RoboTest Pro,
AUTO2863,,,MANOVACUÔMETRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEIC-606128,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,,RoboTest Pro,
AUTO3012,,,MANOVACUOMETRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEIC-228445,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,,RoboTest Pro,
AUTO3995,,,MANOVACUOMETRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEIC-598454,,10,,,,,,,,MV123456,Paciente Auto,2026-04-22 04:36:48.515+00,,,,,,,,,false,,Centro Cirúrgico,in_use,,RoboTest Pro,
AUTO4787,,,MANOVACUÔMETRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEIC-081120,,10,,,,,,,,MV123456,Paciente Auto,2026-04-21 18:44:53.654+00,,,,,,,,,false,,Centro Cirúrgico,in_use,,RoboTest Pro,
AUTO5627,,,MANOVACUÔMETRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEIC-028164,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,,RoboTest Pro,
AUTO5764,,,MANOVACUÔMETRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEIC-482078,,10,,,,,,,,MV123456,Paciente Auto,2026-04-21 18:34:53.273+00,,,,,,,,,false,,Centro Cirúrgico,in_use,,RoboTest Pro,
AUTO6167,,,MANOVACUÔMETRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEIC-774943,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,,RoboTest Pro,
AUTO6465,,,MANOVACUÔMETRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEIC-772030,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,,RoboTest Pro,
AUTO6696,,,MANOVACUOMETRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEIC-083609,,10,,,,,,,,MV123456,Paciente Auto,2026-04-22 04:44:57.931+00,,,,,,,,,false,,Centro Cirúrgico,in_use,,RoboTest Pro,
AUTO7315,,,MANOVACUOMETRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEIC-362152,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,,RoboTest Pro,
AUTO7442,,,MANOVACUOMETRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEIC-185199,,10,,,,,,,,MV123456,Paciente Auto,2026-04-22 16:26:35.486+00,,,,,,,,,false,,Centro Cirúrgico,in_use,,RoboTest Pro,
AUTO7475,,,MANOVACUÔMETRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEIC-188092,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,,RoboTest Pro,
AUTO7583,,,MANOVACUOMETRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEIC-871421,,10,,,,,,,,MV123456,Paciente Auto,2026-04-22 05:14:52.463+00,,,,,,,,,false,,Centro Cirúrgico,in_use,,RoboTest Pro,
AUTO7828,,,MANOVACUÔMETRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEIC-625962,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,,RoboTest Pro,
AUTO8317,,,MANOVACUÔMETRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEIC-618445,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,,RoboTest Pro,
AUTO9190,,,MANOVACUÔMETRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEIC-069334,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,,RoboTest Pro,
AUTO9500,,,MANOVACUÔMETRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEIC-611579,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,,RoboTest Pro,
DTUS0338,AGB81138174,,TRANSDUTOR DE ULTRASSOM,35C5,MINDRAY,NÃO CRÍTICO,BAIXA,HOSPITAL DAS CLÍNICAS,INSTITUTO CENTRAL - ICHC,IC - CENTRAL DE EQUIPAMENTOS DO INSTITUTO CENTRAL - 6º EE," AVENIDA DOUTOR ENÉAS DE CARVALHO AGUIAR 255, CERQUEIRA CÉSAR, SÃO PAULO-SP",SP,CERQUEIRA CÉSAR,SÃO PAULO,05403-010,"2929 - CENTRAL EQUIPAMENTO MÉDICO - CIEQ 09 PAMB ",,"15.000,00",2486,"0,00",,27/05/2019,,,,,,,COMODATO - MINDRAY,ATIVO,MINDRAY BRASIL,"PERTENCE AO EQUIPAMENTO DE ULTRASSOM MINDRAY - Z5 DE TAG: DUSO0202
12/06/2021 - TRANSDUTOR DTUS0338 ENCONTRA-SE COM O EQUIPAMENTO DE ULTRASSOM MINDRAY - Z5 DE TAG: DUSO0202",,68352a02-310e-4d73-9ca2-8aeae39fab3e,CEIC,,2026-04-07 20:24:33.872+00,true,,,,,false,,,,,,,,,,,,,2026-04-09 22:46:30.863+00,CEIC,available,DTUS0338,35C5,TRANSDUTOR DE ULTRASSOM
DTUS0339,AGC81129314,,TRANSDUTOR DE ULTRASSOM,75L38,MINDRAY,NÃO CRÍTICO,BAIXA,HOSPITAL DAS CLÍNICAS,INSTITUTO CENTRAL - ICHC,IC - CENTRAL DE EQUIPAMENTOS DO INSTITUTO CENTRAL - 6º EE," AVENIDA DOUTOR ENÉAS DE CARVALHO AGUIAR 255, CERQUEIRA CÉSAR, SÃO PAULO-SP",SP,CERQUEIRA CÉSAR,SÃO PAULO,05403-010,"2929 - CENTRAL EQUIPAMENTO MÉDICO - CIEQ 09 PAMB ",,"15.000,00",2486,"0,00",,27/05/2019,,,,,,,COMODATO - MINDRAY,ATIVO,MINDRAY BRASIL,"PERTENCE AO EQUIPAMENTO DE ULTRASSOM MINDRAY - Z5 DE TAG: DUSO0202
12/06/2021 - TRANSDUTOR DTUS0339 ENCONTRA-SE COM O EQUIPAMENTO DE ULTRASSOM MINDRAY - Z5 DE TAG: DUSO0202",,8f3479ed-4d10-42d8-a840-e064024d8fc5,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,DTUS0339,75L38,TRANSDUTOR DE ULTRASSOM
DTUS0340,AGD81126361,,TRANSDUTOR DE ULTRASSOM,65EC10EA,MINDRAY,NÃO CRÍTICO,BAIXA,HOSPITAL DAS CLÍNICAS,INSTITUTO CENTRAL - ICHC,IC - CENTRAL DE EQUIPAMENTOS DO INSTITUTO CENTRAL - 6º EE," AVENIDA DOUTOR ENÉAS DE CARVALHO AGUIAR 255, CERQUEIRA CÉSAR, SÃO PAULO-SP",SP,CERQUEIRA CÉSAR,SÃO PAULO,05403-010,"2929 - CENTRAL EQUIPAMENTO MÉDICO - CIEQ 09 PAMB ",,"10.000,00",2486,"0,00",,27/05/2019,,,,,,,COMODATO - MINDRAY,ATIVO,MINDRAY BRASIL,"PERTENCE AO EQUIPAMENTO DE ULTRASSOM MINDRAY - Z5 DE TAG: DUSO0202
12/06/2021 - TRANSDUTOR DTUS0340 ENCONTRA-SE COM O EQUIPAMENTO DE ULTRASSOM MINDRAY - Z5 DE TAG: DUSO0202",,bf874aaa-ecad-4b53-926e-0ab6d94364db,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,DTUS0340,65EC10EA,TRANSDUTOR DE ULTRASSOM
DTUS0484,953777WX0,,TRANSDUTOR DE ULTRASSOM,3SC-RS,GE HEALTHCARE,NÃO CRÍTICO,BAIXA,HOSPITAL DAS CLÍNICAS,INSTITUTO CENTRAL - ICHC,IC - CENTRAL DE EQUIPAMENTOS DO INSTITUTO CENTRAL - 6º EE," AVENIDA DOUTOR ENÉAS DE CARVALHO AGUIAR 255, CERQUEIRA CÉSAR, SÃO PAULO-SP",SP,CERQUEIRA CÉSAR,SÃO PAULO,05403-010,"2929 - CENTRAL EQUIPAMENTO MÉDICO - CIEQ 09 PAMB ",,"10.000,00",,"0,00",,07/05/2021,,,,DUSO0252,,,COMODATO - COMERCIAL 3 ALBE LTDA.,ATIVO,COMERCIAL 3 ALBE LDTA.,TRANSDUTOR PERTENCE AO ULTRASSOM TAG: DUSO0252 DO CONTRATO DE COMODATO DA 3 ALBE,,a5a7f8de-66b3-412b-ba55-9090c94ebce4,,,,,,,,,,,,,,,,,,,,,,,CEIC,available,DTUS0484,3SC-RS,TRANSDUTOR DE ULTRASSOM
